City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tommot,58.9564,126.2925,-24.96,94,100,3.54,RU,1675195680
83,amloh,30.6084,76.2319,9.63,83,3,4.64,IN,1675195681
84,port macquarie,-31.4333,152.9167,19.38,89,9,3.41,AU,1675194922
85,san patricio,28.017,-97.5169,4.93,79,100,6.31,US,1675195683
86,leh,34.1667,77.5833,-16.84,92,75,1.17,IN,1675195686
87,kavieng,-2.5744,150.7967,27.59,75,100,3.54,PG,1675195689
88,punta arenas,-53.15,-70.9167,15.06,51,75,11.83,CL,1675195558
89,jalu,29.0331,21.5482,12.46,56,42,4.92,LY,1675195695
90,hofn,64.2539,-15.2082,-0.81,64,99,9.09,IS,1675195377
91,baruun-urt,46.6806,113.2792,-21.37,87,4,3.86,MN,1675195707
92,harbour breton,47.4833,-55.7983,-1.76,94,100,2.52,CA,1675195709
93,torbay,47.6666,-52.7314,1.43,89,94,0.45,CA,1675195634
94,dullewala,31.8359,71.4362,12.96,50,0,2.22,PK,1675195721
95,faanui,-16.4833,-151.75,27.11,76,31,6.47,PF,1675195574
96,baglung,28.2719,83.5898,11.36,27,0,2.94,NP,1675195728
97,bilma,18.6853,12.9164,19.41,18,100,5.11,NE,1675195732
98,caravelas,-17.7125,-39.2481,27.26,69,46,3.75,BR,1675195733
99,carroll,39.5501,-77.0164,3.04,81,100,2.57,US,1675195738
100,vysokopillya,47.4919,33.5306,-0.53,95,100,1.34,UA,1675195739
101,fairbanks,64.8378,-147.7164,-7.02,86,100,2.57,US,1675195500
102,hithadhoo,-0.6,73.0833,27.11,77,26,4.24,MV,1675195614
103,cabo san lucas,22.8909,-109.9124,23.62,52,83,1.79,MX,1675195337
104,najran,17.4924,44.1277,18.75,25,28,1.14,SA,1675195741
105,uttarkashi,30.7333,78.45,7.78,31,0,3.87,IN,1675195746
106,price,39.5994,-110.8107,-6.6,45,0,1.54,US,1675195748
107,awbari,26.5921,12.7805,9.75,26,0,3.26,LY,1675195753
108,natitingou,10.3042,1.3796,26.72,14,25,2.73,BJ,1675195760
109,busselton,-33.65,115.3333,14.21,75,0,7.3,AU,1675195773
110,ati,13.2154,18.3353,27.43,14,3,5.75,TD,1675195781
111,cabedelo,-6.9811,-34.8339,29.37,69,45,5.89,BR,1675195791
112,wundanyi,-3.4019,38.364,16.43,77,15,1.55,KE,1675195793
113,san cristobal,7.7669,-72.225,25.1,51,64,2.07,VE,1675195795
